CBSA Code,Metro Division Code,Metropolitan statistical areas,Census,Estimates base,2010,2011,2012
37620,,"Parkersburg-Vienna, WV","92,673","92,673","92,757","92,643","92,548"
37860,,"Pensacola-Ferry Pass-Brent, FL","448,991","448,991","451,110","455,458","461,227"
37900,,"Peoria, IL","379,186","379,186","378,937","379,693","380,447"
37980,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,965,343","5,965,341","5,972,025","5,997,474","6,018,800"
37980,15804,".Camden, NJ","1,250,679","1,250,685","1,251,682","1,253,498","1,254,461"
37980,33874,".Montgomery County-Bucks County-Chester County, PA","1,924,009","1,924,008","1,926,378","1,935,678","1,942,088"
37980,37964,".Philadelphia, PA","2,084,985","2,084,978","2,087,831","2,098,128","2,108,705"
37980,48864,".Wilmington, DE-MD-NJ","705,670","705,670","706,134","710,170","713,546"
38060,,"Phoenix-Mesa-Scottsdale, AZ","4,192,887","4,192,887","4,209,375","4,252,078","4,329,534"
38220,,"Pine Bluff, AR","100,258","100,258","100,118","98,973","97,451"
38300,,"Pittsburgh, PA","2,356,285","2,356,285","2,356,827","2,360,114","2,360,733"
38340,,"Pittsfield, MA","131,219","131,219","131,232","130,447","130,016"
38540,,"Pocatello, ID","82,839","82,839","82,993","83,524","83,800"
38860,,"Portland-South Portland, ME","514,098","514,100","513,875","516,081","518,117"
38900,,"Portland-Vancouver-Hillsboro, OR-WA","2,226,009","2,226,009","2,232,717","2,260,928","2,289,800"
38940,,"Port St. Lucie, FL","424,107","424,107","425,251","428,409","432,683"
39140,,"Prescott, AZ","211,033","211,033","210,249","211,130","212,637"
39300,,"Providence-Warwick, RI-MA","1,600,852","1,600,852","1,601,992","1,600,258","1,601,374"
39340,,"Provo-Orem, UT","526,810","526,810","530,092","540,437","550,845"
39380,,"Pueblo, CO","159,063","159,063","159,570","160,346","160,852"
39460,,"Punta Gorda, FL","159,978","159,978","159,898","159,459","162,449"
39540,,"Racine, WI","195,408","195,408","195,447","195,014","194,797"
39580,,"Raleigh, NC","1,130,490","1,130,490","1,137,352","1,162,688","1,188,564"
39660,,"Rapid City, SD","134,598","134,598","135,079","136,385","138,738"
39740,,"Reading, PA","411,442","411,447","411,791","412,547","413,491"
39820,,"Redding, CA","177,223","177,223","177,324","178,031","178,586"
39900,,"Reno, NV","425,417","425,417","426,223","429,356","433,843"
40060,,"Richmond, VA","1,208,101","1,208,101","1,210,180","1,219,022","1,231,980"
40140,,"Riverside-San Bernardino-Ontario, CA","4,224,851","4,224,851","4,243,987","4,301,841","4,350,096"
40220,,"Roanoke, VA","308,707","308,707","308,660","308,999","310,118"
40340,,"Rochester, MN","206,877","206,877","207,137","208,446","209,607"
40380,,"Rochester, NY","1,079,671","1,079,671","1,079,913","1,082,120","1,082,284"
40420,,"Rockford, IL","349,431","349,431","349,245","347,913","346,009"
40580,,"Rocky Mount, NC","152,392","152,388","152,468","151,994","151,662"
40660,,"Rome, GA","96,317","96,317","96,382","96,156","96,177"
40900,,"Sacramento--Roseville--Arden-Arcade, CA","2,149,127","2,149,127","2,154,776","2,176,452","2,196,482"
40980,,"Saginaw, MI","200,169","200,169","199,940","198,990","198,353"
41060,,"St. Cloud, MN","189,093","189,093","189,208","190,036","190,471"
41100,,"St. George, UT","138,115","138,115","138,462","141,511","144,809"
41140,,"St. Joseph, MO-KS","127,329","127,329","127,226","127,649","127,927"
